mention_id,doc_id,entity_text,entity_norm,entity_type,source,specialty,manual_canonical
0,2050,fractures,fractures,Disease,scispacy,orthopedic,
1,4155,injury and illness,injury and illness,Disease,scispacy,consult - history and phy.,
2,4782,non-small cell lung cancer,non-small cell lung cancer,Disease,scispacy,cardiovascular / pulmonary,
3,3811,cramping,cramping,Disease,scispacy,emergency room reports,
4,2328,"nausea,",nausea,Disease,scispacy,orthopedic,
5,3285,edema,edema,Disease,scispacy,general medicine,
6,4359,mood swings,mood swings,Disease,scispacy,consult - history and phy.,
7,1269,shortness of breath,shortness of breath,Disease,scispacy,soap / chart / progress notes,
8,3591,polyps,polyps,Disease,scispacy,gastroenterology,
9,3326,redness,redness,Disease,scispacy,general medicine,
10,1526,fatigue,fatigue,Disease,scispacy,radiology,
11,3979,throat,throat,Disease,scispacy,dentistry,
12,4126,tinnitus,tinnitus,Disease,scispacy,consult - history and phy.,
13,3348,congestion,congestion,Disease,scispacy,general medicine,
14,1007,palate,palate,Disease,scispacy,surgery,
15,815,malnutrition,malnutrition,Disease,scispacy,surgery,
16,4678,pleural effusion,pleural effusion,Disease,scispacy,cardiovascular / pulmonary,
17,3963,erythema nodosum,erythema nodosum,Disease,scispacy,dermatology,
18,1812,pain,pain,Disease,scispacy,podiatry,
19,2557,rupture,rupture,Disease,scispacy,obstetrics / gynecology,
20,48,edema,edema,Disease,scispacy,urology,
21,826,occult barrett,occult barrett,Disease,scispacy,surgery,
22,4369,fracture,fracture,Disease,scispacy,consult - history and phy.,
23,4521,dermatosis,dermatosis,Disease,scispacy,consult - history and phy.,
24,529,left ventricular dysfunction,left ventricular dysfunction,Disease,scispacy,surgery,
25,4306,insomnia,insomnia,Disease,scispacy,consult - history and phy.,
26,2173,thoracolumbar subluxation,thoracolumbar subluxation,Disease,scispacy,orthopedic,
27,2066,tenderness,tenderness,Disease,scispacy,orthopedic,
28,4222,lung cancer,lung cancer,Disease,scispacy,consult - history and phy.,
29,4477,thrush,thrush,Disease,scispacy,consult - history and phy.,
30,1767,delirium,delirium,Disease,scispacy,psychiatry / psychology,
31,2943,snoring,snoring,Disease,scispacy,neurology,
32,175,sphincter deficiency,sphincter deficiency,Disease,scispacy,urology,
33,825,bleeding,bleeding,Disease,scispacy,surgery,
34,3809,hyperkalemia,hyperkalemia,Disease,scispacy,emergency room reports,
35,3552,reflux symptoms,reflux symptoms,Disease,scispacy,gastroenterology,
36,451,"ptosis, loss of vision",ptosis loss of vision,Disease,scispacy,surgery,
37,3443,proctitis,proctitis,Disease,scispacy,gastroenterology,
38,3963,skin rash,skin rash,Disease,scispacy,dermatology,
39,3858,right knee pain,right knee pain,Disease,scispacy,discharge summary,
40,1578,psoriasis,psoriasis,Disease,scispacy,radiology,
41,4547,herniation,herniation,Disease,scispacy,chiropractic,
42,2895,mitral valve with regurgitation,mitral valve with regurgitation,Disease,scispacy,neurology,
43,4170,perineum,perineum,Disease,scispacy,consult - history and phy.,
44,3307,oropharyngeal lesions,oropharyngeal lesions,Disease,scispacy,general medicine,
45,1136,bipolar,bipolar,Disease,scispacy,surgery,
46,3477,hydronephrosis,hydronephrosis,Disease,scispacy,gastroenterology,
47,3387,"time.,3",time3,Disease,scispacy,general medicine,
48,1968,shortness of breath,shortness of breath,Disease,scispacy,pain management,
49,3834,orthostatic hypotension,orthostatic hypotension,Disease,scispacy,discharge summary,
50,1898,nasal congestion,nasal congestion,Disease,scispacy,pediatrics - neonatal,
51,3399,asthma,asthma,Disease,scispacy,general medicine,
52,2557,oligohydramnios,oligohydramnios,Disease,scispacy,obstetrics / gynecology,
53,1110,tumor,tumor,Disease,scispacy,surgery,
54,377,renal problems,renal problems,Disease,scispacy,surgery,
55,2836,obesity,obesity,Disease,scispacy,neurology,
56,2916,normocephalic,normocephalic,Disease,scispacy,neurology,
57,848,gerd,gerd,Disease,abbrev_dict,surgery,
58,2765,convulsive seizure,convulsive seizure,Disease,scispacy,neurology,
59,2573,abnormal vaginal bleeding,abnormal vaginal bleeding,Disease,scispacy,obstetrics / gynecology,
60,4478,pain,pain,Disease,scispacy,consult - history and phy.,
61,3478,bleeding,bleeding,Disease,scispacy,gastroenterology,
62,4390,pain,pain,Disease,scispacy,consult - history and phy.,
63,854,bleeding,bleeding,Disease,scispacy,surgery,
64,1408,pain,pain,Disease,scispacy,soap / chart / progress notes,
65,3576,irritable bowel syndrome,irritable bowel syndrome,Disease,scispacy,gastroenterology,
66,1768,fatigue,fatigue,Disease,scispacy,psychiatry / psychology,
67,3528,"fashion.,bilateral groin",fashionbilateral groin,Disease,scispacy,gastroenterology,
68,4214,urinary tract infection,urinary tract infection,Disease,scispacy,consult - history and phy.,
69,3443,nausea,nausea,Disease,scispacy,gastroenterology,
70,2719,non-epileptic events,non-epileptic events,Disease,scispacy,neurology,
71,1483,pericardial effusion,pericardial effusion,Disease,scispacy,radiology,
72,4081,itching,itching,Disease,scispacy,consult - history and phy.,
73,3315,chest pain,chest pain,Disease,scispacy,general medicine,
74,3096,fever,fever,Disease,scispacy,hematology - oncology,
75,4114,antidepressant,antidepressant,Drug,scispacy,consult - history and phy.,
76,2959,cimetidine,cimetidine,Drug,scispacy,nephrology,
77,4302,globulin,globulin,Drug,scispacy,consult - history and phy.,
78,3066,lisinopril,lisinopril,Drug,scispacy,hospice - palliative care,
79,872,oxygen,oxygen,Drug,scispacy,surgery,
80,2806,amphotericin,amphotericin,Drug,scispacy,neurology,
81,2926,aldosterone,aldosterone,Drug,scispacy,neurology,
82,3123,coumadin,coumadin,Drug,scispacy,hematology - oncology,
83,4376,ana,ana,Drug,scispacy,consult - history and phy.,
84,1578,pyrimethamine,pyrimethamine,Drug,scispacy,radiology,
85,2376,xylocaine,xylocaine,Drug,scispacy,ophthalmology,
86,4853,flecainide,flecainide,Drug,scispacy,cardiovascular / pulmonary,
87,4201,folate,folate,Drug,scispacy,consult - history and phy.,
88,2673,bacitracin,bacitracin,Drug,scispacy,neurosurgery,
89,3972,percocet,percocet,Drug,scispacy,dentistry,
90,204,propofol,propofol,Drug,scispacy,surgery,
91,4303,tylenol,tylenol,Drug,scispacy,consult - history and phy.,
92,2295,ropivacaine,ropivacaine,Drug,scispacy,orthopedic,
93,4397,cocaine,cocaine,Drug,scispacy,consult - history and phy.,
94,1886,tylenol,tylenol,Drug,scispacy,pediatrics - neonatal,
95,1580,dilantin,dilantin,Drug,scispacy,radiology,
96,3858,cpm,cpm,Drug,scispacy,discharge summary,
97,612,bronze lesions,bronze lesions,Drug,scispacy,surgery,
98,3693,p.o,po,Drug,scispacy,ent - otolaryngology,
99,1564,labetalol,labetalol,Drug,scispacy,radiology,
100,4069,micardis,micardis,Drug,scispacy,consult - history and phy.,
101,4304,lovenox,lovenox,Drug,scispacy,consult - history and phy.,
102,4410,sugar-free jell-o,sugar-free jell-o,Drug,scispacy,consult - history and phy.,
103,2525,augmentin,augmentin,Drug,scispacy,obstetrics / gynecology,
104,3234,smoke,smoke,Drug,scispacy,general medicine,
105,4679,creatinine,creatinine,Drug,scispacy,cardiovascular / pulmonary,
106,617,toradol,toradol,Drug,scispacy,surgery,
107,1409,bumex,bumex,Drug,scispacy,soap / chart / progress notes,
108,1817,bilirubin,bilirubin,Drug,scispacy,podiatry,
109,1459,gu,gu,Drug,scispacy,rheumatology,
110,4400,chlordiazepoxide,chlordiazepoxide,Drug,scispacy,consult - history and phy.,
111,4646,verapamil,verapamil,Drug,scispacy,cardiovascular / pulmonary,
112,3484,imuran,imuran,Drug,scispacy,gastroenterology,
113,4321,atrovent,atrovent,Drug,scispacy,consult - history and phy.,
114,1521,iodine,iodine,Drug,scispacy,radiology,
115,2094,ble,ble,Drug,scispacy,orthopedic,
116,1967,preservative-free lidocaine,preservative-free lidocaine,Drug,scispacy,pain management,
117,1309,aspirin,aspirin,Drug,scispacy,soap / chart / progress notes,
118,1534,40mg/kg/day,40mgkgday,Drug,scispacy,radiology,
119,1368,vitamin e,vitamin e,Drug,scispacy,soap / chart / progress notes,
120,1314,nexium,nexium,Drug,scispacy,soap / chart / progress notes,
121,4054,pulmicort,pulmicort,Drug,scispacy,consult - history and phy.,
122,273,calcium,calcium,Drug,scispacy,surgery,
123,3484,imuran,imuran,Drug,scispacy,gastroenterology,
124,3793,"time.,neurologic",timeneurologic,Drug,scispacy,emergency room reports,
125,3168,o2 saturation,o2 saturation,Drug,scispacy,general medicine,
126,3618,levaquin,levaquin,Drug,scispacy,gastroenterology,
127,4336,tylenol,tylenol,Drug,scispacy,consult - history and phy.,
128,4054,colace,colace,Drug,scispacy,consult - history and phy.,
129,4233,digoxin,digoxin,Drug,scispacy,consult - history and phy.,
130,66,novolin,novolin,Drug,scispacy,urology,
131,4197,amitriptyline,amitriptyline,Drug,scispacy,consult - history and phy.,
132,4201,q.d,qd,Drug,scispacy,consult - history and phy.,
133,1623,zonegran,zonegran,Drug,scispacy,radiology,
134,1752,cannabis,cannabis,Drug,scispacy,psychiatry / psychology,
135,2326,p.o,po,Drug,scispacy,orthopedic,
136,1897,oxygen,oxygen,Drug,scispacy,pediatrics - neonatal,
137,4919,nitroglycerin,nitroglycerin,Drug,scispacy,cardiovascular / pulmonary,
138,2828,alprazolam,alprazolam,Drug,scispacy,neurology,
139,4376,b12,b12,Drug,scispacy,consult - history and phy.,
140,4640,cardizem,cardizem,Drug,scispacy,cardiovascular / pulmonary,
141,3820,alcohol,alcohol,Drug,scispacy,emergency room reports,
142,4844,furosemide,furosemide,Drug,scispacy,cardiovascular / pulmonary,
143,4542,"parenting.,plan",parentingplan,Drug,scispacy,consult - history and phy.,
144,1951,steroid,steroid,Drug,scispacy,pain management,
145,2604,tampons,tampons,Drug,scispacy,obstetrics / gynecology,
146,3522,fentanyl,fentanyl,Drug,scispacy,gastroenterology,
147,3350,silver,silver,Drug,scispacy,general medicine,
148,3192,maxzide,maxzide,Drug,scispacy,general medicine,
149,2298,tricalcium phosphate,tricalcium phosphate,Drug,scispacy,orthopedic,
